
"Acrimony","신랄"
"Anointing Resourcefulness changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 지략 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Resourcefulness changes nothing because this node is already anointed.","이 노드에는 이미 지략 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Resourcefulness changes nothing.","지략 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Resourcefulness will give you","지략 성유를 부으면 다음 효과를 제공"
"Anointing Retaliation changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 보복 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Retaliation changes nothing because this node is already anointed.","이 노드에는 이미 보복 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Retaliation changes nothing.","보복 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Retaliation will give you","보복 성유를 부으면 다음 효과를 제공"
"Anointing Retribution changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 응징 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Retribution changes nothing because this node is already anointed.","이 노드에는 이미 응징 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Retribution changes nothing.","응징 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Retribution will give you","응징 성유를 부으면 다음 효과를 제공"
"Anointing Revelry changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 환락 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Revelry changes nothing because this node is already anointed.","이 노드에는 이미 환락 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Revelry changes nothing.","환락 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Revelry will give you","환락 성유를 부으면 다음 효과를 제공"
"Anointing Revenge of the Hunted changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 사냥감의 복수 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Revenge of the Hunted changes nothing because this node is already anointed.","이 노드에는 이미 사냥감의 복수 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Revenge of the Hunted changes nothing.","사냥감의 복수 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Revenge of the Hunted will give you","사냥감의 복수 성유를 부으면 다음 효과를 제공"
"Anointing Ribcage Crusher changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 흉골 분쇄자 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Ribcage Crusher changes nothing because this node is already anointed.","이 노드에는 이미 흉골 분쇄자 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Ribcage Crusher changes nothing.","흉골 분쇄자 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Ribcage Crusher will give you","흉골 분쇄자 성유를 부으면 다음 효과를 제공"
"Anointing Righteous Army changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 정의의 군대 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Righteous Army changes nothing because this node is already anointed.","이 노드에는 이미 정의의 군대 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Righteous Army changes nothing.","정의의 군대 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Righteous Army will give you","정의의 군대 성유를 부으면 다음 효과를 제공"
"Anointing Righteous Decree changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 정의로운 법령 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Righteous Decree changes nothing because this node is already anointed.","이 노드에는 이미 정의로운 법령 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Righteous Decree changes nothing.","정의로운 법령 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Righteous Decree will give you","정의로운 법령 성유를 부으면 다음 효과를 제공"
"Anointing Righteous Fury changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 정의로운 광분 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Righteous Fury changes nothing because this node is already anointed.","이 노드에는 이미 정의로운 광분 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Righteous Fury changes nothing.","정의로운 광분 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Righteous Fury will give you","정의로운 광분 성유를 부으면 다음 효과를 제공"
"Anointing Robust changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 왕성함 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Robust changes nothing because this node is already anointed.","이 노드에는 이미 왕성함 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Robust changes nothing.","왕성함 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Robust will give you","왕성함 성유를 부으면 다음 효과를 제공"
"Anointing Runesmith changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 룬 제작자 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Runesmith changes nothing because this node is already anointed.","이 노드에는 이미 룬 제작자 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Runesmith changes nothing.","룬 제작자 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Runesmith will give you","룬 제작자 성유를 부으면 다음 효과를 제공"
"Anointing Saboteur changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 사보추어 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Saboteur changes nothing because this node is already anointed.","이 노드에는 이미 사보추어 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Saboteur changes nothing.","사보추어 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Saboteur will give you","사보추어 성유를 부으면 다음 효과를 제공"
"Anointing Sacrifice changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 희생 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Sacrifice changes nothing because this node is already anointed.","이 노드에는 이미 희생 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Sacrifice changes nothing.","희생 성유를 부어도 아무것도 변경되지 않습니다."
